figure_id,section,consolidated_file,draft_title
Fig. 1,main,all_sources/imagenes__imagenes__F1_method_overview.png,End-to-end downscaling workflow
Fig. 2,main,all_sources/imagenes__imagenes__F3_study_area_map.pdf,Study area and station context
Fig. 3,main,all_sources/paper_final__experiments__eval_outputs__paper_figures_final__fig_exp1_spatial_performance.pdf,Experiment 1 domain-wide spatial performance
Fig. 4,main,all_sources/repro_v2__figures__repro_v2__fig_v2_exp1_mamba_vs_bilinear_delta.pdf,Experiment 1 qualitative correction field
Fig. 5,main,all_sources/paper_final__experiments__eval_outputs__paper_figures_final__fig_exp2_station_rmse_segments.pdf,Experiment 2 station RMSE by segment
Fig. 6,main,all_sources/paper_final__experiments__eval_outputs__paper_figures_final__fig_exp2_scatter_mamba_vs_bilinear.pdf,Experiment 2 station scatter diagnostics
Fig. 7,main,all_sources/paper_final__experiments__eval_outputs__paper_figures_final__fig_exp3_bottleneck_ablation.pdf,Experiment 3 bottleneck temporal ablation
Fig. 8,main,all_sources/repro_v2__figures__repro_v2__fig_v2_cs1_heatwave_storyboard.pdf,Case Study 1 extreme heatwave reconstruction
Fig. 9,main,all_sources/imagenes__imagenes__F7_casestudy2_cooling_maps.pdf,Case Study 2A nocturnal cooling and persistence
Fig. 10,main,all_sources/paper_final__experiments__eval_outputs__paper_figures_final__fig_cs2_montecarlo_robustness.pdf,Case Study 2B Monte Carlo input robustness
Fig. S1,supplement,all_sources/imagenes__imagenes__F6_casestudy2_persistence.png,CS2A persistence view
Fig. S2,supplement,all_sources/repro_v2__figures__repro_v2__fig_v2_exp2_station_mae_heatmap.pdf,Exp2 station MAE heatmap
Fig. S3,supplement,all_sources/repro_v2__figures__repro_v2__fig_v2_exp1_day_night_model_grid.pdf,Exp1 day-night model grid
Fig. S4,supplement,all_sources/paper_final__experiments__eval_outputs__paper_figures_final__fig_cs1_heatwave_performance.pdf,CS1 aggregate ranking
Fig. S5,supplement,all_sources/legacy_pdf__figures__pdf__fig11_mamba_spatial_comparison.pdf,Legacy Mamba spatial comparison
Fig. S6,supplement,all_sources/legacy_pdf__figures__pdf__fig10_mamba_memory_ablation.pdf,Legacy memory ablation
Fig. S7,supplement,all_sources/legacy_pdf__figures__pdf__fig05_timeseries_stations_real_improved.pdf,Legacy station time-series details
Fig. S8,supplement,all_sources/presentation__experiments__presentation_figures__fig08_hourly_top2_side_by_side_mamba_unet_2017-08-15_PUB.gif,CS1 dynamic top-2 comparison
Fig. S9,supplement,all_sources/presentation__experiments__presentation_figures__fig07_hourly_field_evolution_mamba_2017-08-15_PUB.gif,CS1 dynamic Mamba evolution
Fig. S10,supplement,all_sources/legacy_pdf__figures__pdf__fig09_train_val_curves.pdf,Legacy training-validation curves
